resolution_id,description
486,The Department of Education inspected the site and was not able to locate the reported condition. If the condition persists please file a new service request with more details.
487,"A representative from the Taxi and Limousine Commission (TLC) called and left a message for you and emailed you but has not been able to get in touch with you to confirm the details of your complaint. As a result, the TLC has closed your complaint. If you would like to have your complaint reopened, please call (212) 676-1046."
488,The Department of Buildings reviewed this complaint and referred it to the Fire Department of New York for further action.
489,"The Department of Transportation (DOT) inspectors could not find the address you reported. If the condition still exists, please check the address and submit a new Service Request."
490,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. There was no answer at the phone number provided.
491,"The Department of Environmental Protection has investigated this complaint. Upon investigation, a defect was found done."
492,The Department of Environmental protection referred this complaint to the Department of Health and Mental Hygiene for further action.
493,The Department of Environmental Protection investigated this complaint and cancelled the shutdown.
494,The Department of Education determined that this complaint is not within its jurisdiction because it concerns a private school. Please contact the private school directly.
495,"The NYC Health Department (DOHMH) Office of Public Health Engineering received your complaint. To learn more, call them at (718) 786-6004. This service request has been closed. No further updates will be available."
496,"The Department of Transportation inspected the condition and made the determination that the street meets resurfacing standards and will be scheduled for this current resurfacing season (April - November). For specific weekly scheduling information regarding your street, contact your Community Board or visit our website www.NYC.gov/dot."
497,The Department of Transportation (DOT) closed this request.  The issue you reported is outside New York City's jurisdiction.
498,The Department of Transportation found that the bike was not deemed abandoned.
499,The Department of Buildings has reviewed this complaint and determnined that it would be best addressed by the Department of Investigation.
500,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Liquor Authority. Call (518) 474-3114 or visit sla.ny.gov.
501,The Department of Health and Mental Hygiene has investigated the complaint. Further investigation will be conducted.
502,"NYC Parks attempted to inspect the reported condition, but could not find the location. Please file a new Service Request with adequate site details, including a full street address and descriptive location information."
503,NYC Parks determined that the requested location cannot receive a new tree because of conflicts with surrounding infrastructure.
504,The Taxi and Limousine Commission requires you to attend a hearing to process a complaint against a driver or car service company. Your complaint has been closed.
505,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Gaming Commission. Call (518) 388-3300 or visit gaming.ny.gov.
506,The Department of Sanitation has investigated your request and tagged the vehicle for removal. The Department must wait 6 hours after tagging to ensure the vehicle is abandoned. If the vehicle remains unclaimed it will be scheduled for removal.
507,"The Department of Environmental Protection attempted to inspect this complaint but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
508,"The Department of Transportation's inspectors could not find the condition you reported. If you would like to pursue the complaint, please check the address and submit a new Service Request."
509,The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date and time of re-inspection.
510,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to the Department of Education (DOE). To learn more, contact DOE at (718) 935-2200 or schools.nyc.gov/connect-with-us."
511,"The Department of Sanitation (DSNY) inspected and partially cleaned the lot. Due to multiple issues with who owns and is responsible for the lot, DSNY could not clean it."
512,This request required re-assignment to a new DOT unit.
513,The Department of Sanitation (DSNY) visited the location and didn't see any violations.
514,The Department of Health and Mental Hygiene has investigated the complaint.  Owner/manager ordered to eliminate condition.  Violations were issued and fines may be levied as appropriate.
515,The Department of Sanitation (DSNY) found that the location isn't a vacant lot. DSNY will refer your complaint to a Sanitation District for investigation.
516,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Better Business Bureau. Call (212) 533-6200 or visit newyork.bbb.org.
517,NYC DEP Green Infrastructure staff provided supplemental planting to a sparsely planted or damaged rain garden.
518,You were mailed a notice of complaint inactivation because the condition you reported no longer exists.
519,The Department of Environmental Protection investigated this complaint. Asbestos was found and a clean-up was ordered.
520,The Department of Transportation inspected the condition and determined that it is in compliance with its standards.
521,"The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Suffolk County Department of Labor, Licensing and Consumer Affairs. Call (631) 853-4600."
522,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed, due to either a pump station malfunction, high tides, water main break, or another issue."
523,"NYC Parks created a work order for the tree condition and expects to address the issue within 7 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the"
524,The Department of Transportation determined that this issue is not within its jurisdiction. It was referred to the New York City Police Department.
525,The Department of Buildings has inspected this location and found previously observed compliance deficiencies corrected. A partial Stop Work Order Rescission has been granted.
526,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Buildings.
527,The reported condition was inspected and a report has been filed.
528,The Department of Transportation inspected the condition and temporary repairs were made to make the area safe.
529,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Federal Trade Commission. Call (202) 326-2222 or visit ftc.gov.
530,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to the Metropolitan Transportation Authority (MTA). To learn more, contact MTA at 511 or mta.info/contact-us."
531,The Department of Transportation inspected the condition you reported and found that the bicycle rack is privately owned. You must contact the building owner or representative to correct this condition. Call 311 or go to www.nyc.gov/311 to get property ownership information.
532,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.
533,The Department of Health and Mental Hygiene could not conduct an inspection at the property you reported because dangerous conditions at that site make it unsafe for inspectors to attempt access.
534,The Department of Environmental Protection performed an odor survey. Readings were recorded.
535,"The Department of Environmental Protection attempted to investigate this complaint but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
536,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to the Nassau County Department of Health. To learn more, contact them at (516) 227-9697 or nassaucountyny.gov/health."
537,NYC DEP investigated and determined that there is an active capital project which will resolve the issue.
538,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.
539,The Department of Environmental Protection investigated this complaint and referred it to the Fire Department of New York for further action.
540,Your complaint has been received by the Police Department and additional information will be available later.
541,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Nassau County Department of Consumer Affairs. Call (516) 571-2600 or visit nassaucountyny.gov/consumers.
542,"NYC Parks created a work order to remove the bicycle.  For information on how to report an abandoned bicycle, please reach out to the Department of Sanitation at https://www1.nyc.gov/assets/dsny/site/resources/streets-and-sidewalks-laws/vehicle-bike-laws"
543,Newsrack owners are responsible for general maintenance of the newsrack. Newsrack owners are required to certify to Department of Transportation once every 4 months that they have used their best efforts to clean graffiti and stickers from every rack at least once in the preceding 4-month period.
544,The Department of Environmental Protection investigated this complaint and flushed the sewer.
545,The Department of Sanitation inspected the location and had it cleaned.
546,"The Department of Housing Preservation and Development was at the building but did not have enough time to inspect the following conditions. If you have not already been contacted, please call the Department of Housing Preservation and Development at 212-863-8603 with your complaint number to schedule a follow-up inspection."
547,The Department of Transportation determined that this issue is not within its jurisdiction. It was referred to the Department of Buildings.
548,"An HPD Inspector was not able to gain access to inspect this complaint sometime within the last 10 days. If the conditions still exist and an inspection is required, please contact HPD with your complaint number to schedule an appointment at  718 579-6777 (BRONX)."
549,The Department of Environmental Protection investigated this complaint and referred it to the Department of Sanitation for further action.
550,The Department of Environmental Protection investigated this complaint and sent it to the Right to Know Division for further action.
551,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Fire Department of New York.
552,The Department of Environmental Protection investigated this complaint and referred it to the Department of Transportation for further action.
553,The Department of Health and Mental Hygiene tried to inspect the property you reported but could not complete the inspection. The department will attempt to conduct another inspection within 21 days.
554,"The Department of Transportation's inspectors could not find the address you reported. If you would like to pursue the complaint, please check the address and submit a new Service Request."
555,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. It has been referred to the Department of Parks and Recreation.
556,The Department of Health and Mental Hygiene needs more information to respond to this complaint. You can provide contact information by filing another complaint by calling 311 or going online to www.nyc.gov/311. This service request has been closed.
557,Thank you for your report. The Department of Health and Mental Hygiene will use the information that you provided to help track and control mosquito populations throughout the City. No further information will be available from 311 on your report.
558,The Department of Buildings reviewed this complaint and assigned it to the Electrical Division for further action.
559,"Based on the nature of this issue, the Department of Homeless Services (DHS) worked with the New York City Police Department (NYPD) and determined that the best course of action was to transfer this issue to the NYPD. Your service request has been closed."
560,The Office of Technology and Innovation reviewed and determined that this issue was not found.
561,The Department of Sanitation (DSNY) collected the items.
562,The Department of Environmental Protection checked all plant processes to ensure all equipment is running normally.
563,"The Department of Environmental Protection cannot take action on this complaint because it is incomplete. If the problem still exists, please call 311 and file a new complaint with complete information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
564,An inspection of the property was conducted and the owner was issued a summons. Follow-up inspections will be scheduled.
565,The Department of Transportation will inspect the condition and will determine the next action.
566,The Department of Transportation inspected this complaint and found that the defect was not accessible. The repair will be rescheduled.
567,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. It has been referred to the Department of Environmental Protection.
568,"An investigation was performed on this property and the property owner was provided with information and guidance on eliminating rodents or rodent conditions on their property. If the condition persists, please submit another complaint to 311."
569,The Department of Transportation contacted the customer and resolved the Service Request or provided the information requested.
570,The Department of Environmental Protection covered sewage residual waste containers and are awaiting their removal.
571,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of Public Service. Call (800) 342-3377 or visit dps.ny.gov.
572,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Environmental Protection.
573,"The Department of Sanitation (DSNY) found that the lot is part of NYC Parks' GreenThumb Program. DSNY has referred your complaint to the agency. For future requests, please contact the program directly."
574,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Economic Development Corporation.
575,The Department of Transportation requires 30 days to respond to this type of complaint. Please note your Service Request number for future reference.
576,"The Department of Environmental Protection closed all wastewater treatment plant doors, windows and hatches to prevent plant odors from escaping."
577,The Department of Environmental Protection investigated this complaint and resolved the issue during a field inspection. The agency flushed the sewer in front of the complainant's address as a courtesy.
578,NYC Parks has determined that this issue is not within its jurisdiction. Please contact the Metropolitan Transportation Authority for assistance at www.mta.info.
579,The addressed submitted in your service request was not found. Please check the address and submit a new Service Request to 311 with the correct address.
580,The Department of Sanitation (DSNY) sent your complaint to the appropriate district garage or bureau. They will review it and determine the next steps.
581,The Department of Transportation's work on this complaint is still in progress. The excavation and backfill were completed.
582,The Department of Environmental Protection investigated this complaint and referred it to the Department of Health for further action.
583,The Department of Buildings has reviewed this complaint and has reassigned it to our Executive Inspections Unit.
584,The Department of Environmental Protection investigated this complaint and found the spill was cleaned up.
585,The Department of Environmental Protection has investigated this complaint. There was no indication of city sewer issue at time of the inspection and no further investigation needed.
586,The lot you reported is being used for parking. The Department of Sanitation (DSNY) will refer your Service Request to their enforcement division for further action.
587,The Department of Sanitation (DSNY) found that the lot isn't eligible for cleaning. A non-City government agency is using the property. DSNY will notify the agency to correct the condition.
588,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.
589,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Environmental Protection.
590,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint."
591,"The NYC Health Department (DOHMH) Office of Veterinary Public Health Services received your complaint. To learn more, call them at (646) 364-1783. This service request has been closed. No further updates will be available."
592,The Department of Environmental Protection investigated this complaint and referred it to a contractor for further action.
593,"The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the U.S. Department of Transportation Office of Aviation Consumer Protection. Call (202) 366-2220 or visit transportation.gov and click ""Aviation"" to file an airline consumer complaint."
594,Your report has been sent to the Taxi and Limousine Commission (TLC). You are not available to participate in a hearing so TLC cannot take any action against the driver or car service company. No further information will be available for your report
595,The complainant may file a FOIL (Freedom of Information Law) request for more information. The FOIL application may be found at www.nyc.gov/DEP.
596,The Department of Transportation (DOT) found that the issue you reported is a Department of Parks and Recreation (DPR) issue.  Please file a new service request with the DPR.
597,The Department of Buildings investigated this complaint and prepared a violation to be issued in person. The first attempt to issue the violation was not successful; additional attempts will be made.
598,The Department of Buildings has inspected this location to determine compliance. Identified conditions requires further review.
599,"Upon inspection, the reported location/address was not found, either not correct or invalid, therefore no action was taken."
600,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint."
601,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint."
602,"The Department of Transportation (DOT) inspectors could not find the condition at the address you reported.   If the condition still exists, please submit a new Service Request."
603,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.
604,"The NYC Department of Health (DOHMH) determined this issue isn't within its jurisdiction.  Unfortunately, DOHMH doesn't know of any agency that can act on the complaint and can't provide further assistance."
605,The Department of Environmental Protection determined that this complaint is not under its jurisdiction and referred it to the New York Police Department for further action.
606,This SR was administratively closed. The issue you reported was addressed.
607,"The Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists, the Agency may issue the responsible party a summons and/or correct the condition."
608,The condition was inspected and referred to another Department of Transportation unit.
609,The Department of Buildings reviewed this complaint and assigned it to the Plumbing Division for further action.
610,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Health and Mental Hygiene.
611,The personnel involved in the incident were issued a warning and/or complaint.
612,This service request has been referred to the Department of Health and Mental Hygiene's Office of Environmental Investigations.
613,The Department of Transportation determined that this issue is not within its jurisdiction. It was referred to the Department of Consumer Affairs.
614,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Internal Revenue Service. Call (800) 829-1040 or visit irs.gov.
615,The Department of Health and Mental Hygiene has referred this issue to the Department of Environmental Protection.
616,"The NYC Health Department (DOHMH) closed your service request. They referred your complaint to National Grid. To learn more, contact National Grid at (718) 643-4050 or nationalgridus.com."
617,The Department of Sanitation (DSNY) inspected the lot and didn't find any conditions that violate their rules. DSNY will refer the location to the appropriate agency for further action.
618,"The lot you reported is under construction. Your Service Request has been closed because DSNY only clean lots that are vacant.  To report an unclean construction site, please contact the construction project manager."
619,The Department of Education determined that this issue is not within its jurisdiction. It has been referred to the Department of Sanitation.
620,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. The Service Request has been referred to another agency.
621,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the Office of the Comptroller of the Currency. Call (202) 649-6800 or visit occ.gov.
622,The Department of Health and Mental Hygiene has contacted you and is acting on the information provided.
623,The Department of Health and Mental Hygiene has tried to investigate the Service Request but could not gain access to the establishment. The Department of Health and Mental Hygiene requests that the customer call (212) 676-1520 between the hours of 9:00 A
624,The Department of Environmental Protection investigated this complaint and found that a spray cap was in use while the hydrant was running.
625,The Department of Environmental Protection has investigated this complaint. There is a street depression or cave-in caused by a defective house connection.
626,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you."
627,The Department of Transportation inspected this complaint and will schedule the repair.
628,A Department of Transportation field crew met the customer at the problem meter and returned the credit card to the customer.
629,The condition has been inspected or investigated.
630,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. Your complaint has been referred.
631,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.
632,Department of Sanitation (DSNY) found that the lot has an occupied building. DSNY doesn't categorize a property with a building as a vacant lot. The agency will refer your Service Request to their enforcement division for further action.
633,"Due to a technical problem, your NYC311 Service Request was closed. The City apologizes for the error. If you want to create a new Service Request, NYC311 can help you."
634,The Department of Environmental Protection investigated this complaint and issued a leak and waste notice.
635,The condition was inspected and determined not to be under New York City Department of Transportation's jurisdiction. The Department of Transportation notified the New York State Department of Transportation of the complaint.
636,"The NYC Health Department (DOHMH) Healthy Homes Program received your complaint. To learn more, call them at (646) 632-6023. This service request has been closed. No further updates will be available."
637,NYC Parks determined that the requested location cannot receive a new tree due to temporary site circumstances or obstructions. Please submit a new Service Request after the temporary condition has been cleared.
638,The Office of Technology and Innovation investigated the complaint and the issue has been resolved.
639,"The condition you reported was investigated and violations were observed. A Health Commissioner's Order to eliminate the condtition was issued to the responsible party. If you need more information, you may call (646) 632-6104"
640,The Department of Environmental Protection investigated this complaint. The status is pending.
641,The Department of Transportation will inspect the condition you reported and will determine the next action.
642,The Department of Transportation (DOT) repaired the leaning bar described in your request.
643,The Department of Sanitation (DSNY) issued a violation to the business.
644,The Department of Sanitation (DSNY) closed your Service Request. They didn't see a violation during their inspection.
645,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.
646,The Department of Sanitation (DSNY) closed your Service Request. The condition doesn't meet their criteria for a complaint or request.
647,The Department of Sanitation (DSNY) will help the business understand and comply with sanitation rules.
648,The Department of Transportation (DOT) found that the issue you reported is another City agency.  Please file a new service request with the other City agency referenced in the Notes to Customer field.
649,The Department of Transportation inspected this complaint and barricaded the area. The issue was referred to another unit for further action.
650,"NYC Parks will inspect the site to determine if it is suitable for a new street tree, including a review of potential conflicts with other infrastructure. If the site is found to be suitable, a tree will be planted during the next available planting season. You may review recently completed and upcoming street tree plantings in your neighborhood by visiting the NYC Parks Tree Work Hub at nyc.gov/parks/treework."
651,The Department of Transportation inspected this location and determined that the establishment has 24 hours to come into compliance.
652,"The sidewalk was repaired by the City. After the bill has been recorded, the County Clerk's office will be notified of the violation dismissal. The local Borough County Clerk's office can verify date of dismissal. This process can take up to 30 days."
653,The Department of Sanitation (DSNY) closed your Service Request. They didn't see the problem you reported.
654,The Department of Transportation inspected this location and determined that the establishment must remove all of the items immediately.
655,The Department of Health and Mental Hygiene investigated the complaint and found no violations on the property at the time of the inspection.
656,"The Department of Transportation has inspected the location within the last six months and has either notified or will notify the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code."
657,The Department of Health and Mental Hygiene has reviewed the complaint and has referred it to the New York State Department of Health
658,NYC Parks has determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Transportation.
659,The Department of Health and Mental Hygiene has reviewed the Service Request and has referred it to another agency or organization.
660,"The Department of Transportation inspected the condition and determined it was in compliance with Department of Transportation standards, not hazardous, or a valid permit exists."
661,"A representative from the Taxi and Limousine Commission (TLC) called and left a message for you and emailed you but has not been able to get in touch with to confirm the details of your complaint. As a result, the TLC has closed your complaint. If you would like to have your complaint re-opened please call (212) 676 - 1046."
662,The Department of Buildings has reviewed this complaint and determnined that it would be best addressed by the Construction Safety Enforcement Unit.
663,The Department of Environmental Protection investigated this complaint and found that there was no impact to the sewer system.
664,The Department of Health and Mental Hygiene has investigated the complaint. All prior violations have been corrected and there are no new violations.
665,"The Sidewalk Management Unit will inspect the location and issue a Notice of Violation to the property owner for a defective sidewalk if warranted. Property owners are responsible for maintaining, repairing, and installing sidewalks adjoining their proper"
666,NYC DEP investigated the damaged basin and completed the necessary repair.
667,"Property owners are responsible for maintaining, repairing, and installing sidewalks adjoining their properties. To obtain property owner information, visit the Department of Finance's Automated City Register Information at www.nyc.gov/acris."
668,The Department of Environmental Protection investigated this complaint and issued a Commissioner's Order for further action.
669,The Department of Transportation has repaired the bike rack.
670,The Department of Education determined that this issue is not within its jurisdiction. It has been referred to the Department of Parks and Recreation.
671,The Department of Transportation will research this service request and will determine the next action.
672,"The Department of Transportation will notify the Community Board, schedule a site evaluation and determine technical engineering needs. Once a final determination is made, the local Community Board will be notified of the results. The entire process can take a year or more."
673,"The condition has been inspected/investigated, see customer notes for more information."
674,The injured person has been transported to a hospital.
675,The condition was inspected and it was determined that no work order was necessary. The condition will not be inspected again for at least 90 days.
676,The Department of Environmental Protection investigated this complaint and referred it to the appropriate utility company for further action.
677,The Service Request has been forwarded to Park Enforcement Patrol or Urban Park Rangers and will continue to be monitored.
678,The lot you reported isn't vacant. A business appears to be operating there.   The Department of Sanitation (DSNY) will refer your Service Request to their enforcement division for further action.
679,This complaint was closed.  For more information  call (646) 632-6104.
680,"The Department of Transportation determined that the establishment is operating without authorization, and it was notified to register in the Open Restaurant Program."
681,"The Department of Health and Mental Hygiene has reviewed the complaint and has referred it to another Office/Bureau/Agency. If you would like more information, you may call (646) 632-6104."
682,The Department of Health and Mental Hygiene investigated the complaint but did not issue a violation.
683,The Department of Transportation inspected the condition you reported and found that the bicycle rack is privately owned. You must contact the building owner or representative to correct this condition. Call 311 or go to www.nyc.gov/311 to get property ownership information
684,The Department of Health and Mental Hygiene determined that this issue is not within its jurisdiction. The Service Request has been referred to the Food and Drug Administration.
685,The Department of Transportation recently inspected this site and found it to be in-compliance or took necessary action.
686,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Design and Construction.
687,The Department of Environmental Protection removed sewage residual waste containers from the wastewater treatment plant location.
688,"The Department of Sanitation (DSNY) reviewed your complaint. Before taking the next steps, the agency needs to find out who owns the property."
689,The City inspected the condition you reported and asked the Department of Buildings to address the issue.
690,The Department of Transportation inspected the condition and revoked authorization to offer outdoor dining.
691,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the Department of Citywide Administrative Services.
692,"The Department of Environmental Protection (DEP) closed your Service Request because animal abuse or neglect must be reported to the NYPD. Call 911 to report animal abuse in progress. To report past or chronic abuse or neglect, please call 311 or visit nyc.gov/311 and search for ""animal abuse."""
693,The Department of Environmental Protection investigated this complaint and issued a notice of violation.
694,The Department of Homeless Services has sent a mobile outreach response team to the location.
695,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint."
696,The Department of Transportation (DOT) has determined that this issue is not within its jurisdiction.
697,The Department of Environmental Protection investigated this complaint and issued a violation for failure to comply.
698,The Department of Environmental Protection investigated this complaint and restored pressure.
699,"The Department of Health and Mental Hygiene will send official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request."
700,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request."
701,"The Department of Sanitation (DSNY) closed your Service Request. They didn't have enough information to address it. If the condition still exists, please file a new request with more details and a full address."
702,"The Department of Transportation inspected the condition and temporary repairs were made to make the area safe. Permanent repairs/restoration will be scheduled as part of a project, seasonal work (April - November), or when work is assigned to a contractor."
703,The Department of Environmental Protection investigated this complaint and referred it to other agencies for further action.
704,The Department of Environmental Protection investigated this complaint and unlocked the hydrant.
705,"The Department of Sanitation (DSNY) will help the business understand how to comply with the plastic straw, stirrer, and splash stick law."
706,NYC DEP investigated and determined the sewer was overtaxed due to heavy rain and no further action is required.
707,The Department of Environmental Protection investigated this complaint and issued a violation for failure to maintain.
708,The Department of Environmental Protection investigated this complaint and issued a warning notice.
709,The Department of Buildings has reviewed this complaint and determnined that it would be best addressed by the Construction Safety Compliance Unit.
710,The Department of Environmental Protection investigated this complaint and referred it to the Fire  Department of New York for further action.
711,The Department of Health and Mental Hygiene has investigated the complaint.Violations of rules and regulations issued resulting in the closure of the of the establishment by DOHMH. The establishment will be re-opened if the violations are corrected.
712,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.
713,The establishment reported is out of business.
714,"The Department of Sanitation (DSNY) investigated and addressed the issue. If the problem still exists, please call 311 to file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
715,"The Department of Sanitation (DSNY) inspected the lot. Due to multiple issues with who owns and is responsible for the lot, DSNY could only do a partial cleaning."
716,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.
717,The Department of Health and Mental Hygiene has received and processed your Service Request. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.
718,Your report was submitted and will be used to monitor snow conditions around the City. The Department of Sanitation has a winter storm operation currently underway and cannot respond to individual requests at this time. No further status will be available about your report.
719,"The Department of Health and Mental Hygiene needs more information to respond to this complaint. You can provide contact information by filing another complaint by, calling 311 or going online to www.nyc.gov/311. This service request has been closed."
720,The Department of Environmental Protection investigated this complaint and referred it to Con Edison for further action.
721,"The Department of Sanitation (DSNY) found an open Service Request already exists for the same vehicle. DSNY doesn't open more than one complaint per vehicle at a time. Your request has been closed. DSNY is addressing the request that was filed previously. In response to that SR, DSNY tagged the vehicle and will continue to investigate. No further status will be available for your request."
722,The Department of Buildings has reviewed this complaint and determnined that it would be best addressed by the Department of Citywide Administrative Services (DCAS).
723,The Department of Transportation requires 90 days to respond to this type of complaint. Please note your Service Request number for future reference.
724,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.
725,The Department of Environmental Protection scheduled an inspection.
726,The Department of Environmental Protection investigated this complaint and replaced the damaged or missing catch basin.
727,You were mailed a notice of complaint inactivation because you could not be contacted because you moved.
728,The Department of Environmental Protection investigated this complaint and resolved the issue with the sewer manhole cover.
729,"The status of this Department of Environmental Protection (DEP) Service Request is not available online. Please call 311 and ask for further assistance with the status. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675)."
730,The Department of Environmental Protection investigated this complaint and restored the water main to service.
731,The Department of Environmental Protection investigated this complaint and locked the hydrant.
732,"The Department of Environmental Protection inspected your complaint and repaired the problem. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint."
733,The Department of Environmental Protection investigated this complaint and reset or replaced the manhole casting.
734,The Department of Environmental Protection investigated the complaint and determined that an illegal discharge pipe needs to be rerouted.
735,NYC DEP investigated and determined the sewer was temporarily overtaxed due to heavy rain and no further action is required.
736,The Department of Environmental Protection has investigated this complaint and determined that a health order investigation is required.
737,"NYC DEP investigated and determined the infrastructure required cleaning, which was completed at the time of the inspection."
738,The Department of Environmental Protection investigated this complaint and resolved it by flushing.
739,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Department of Design and Construction.
